1 0,883 path: 1 
128 0,00297337288718496 path: 1 0 1 1 1 0 
129 0,00246919226718403 path: 1 0 1 1 1 2 
130 0,0003113609876 path: 1 0 1 1 0 
131 4,91950360408E-05 path: 1 0 1 1 0 1 
132 0,000143226054296 path: 1 0 1 1 0 0 
133 0,0001189398972632 path: 1 0 1 1 0 2 
134 0,005679224413824 path: 1 0 1 1 2 
135 0,000897317457384192 path: 1 0 1 1 2 1 
136 0,00261244323035904 path: 1 0 1 1 2 0 
137 0,00216946372608077 path: 1 0 1 1 2 2 
138 0,002406224448 path: 1 0 1 0 
139 0,001248830488512 path: 1 0 1 0 1 
140 0,000197315217184896 path: 1 0 1 0 1 1 
141 0,00057446202471552 path: 1 0 1 0 1 0 
142 0,000477053246611584 path: 1 0 1 0 1 2 
143 6,01556112E-05 path: 1 0 1 0 0 
144 9,5045865696E-06 path: 1 0 1 0 0 1 
145 2,7671581152E-05 path: 1 0 1 0 0 0 
146 2,29794434784E-05 path: 1 0 1 0 0 2 
147 0,001097238348288 path: 1 0 1 0 2 
148 0,000173363659029504 path: 1 0 1 0 2 1 
149 0,00050472964021248 path: 1 0 1 0 2 0 
150 0,000419145049046016 path: 1 0 1 0 2 2 
151 0,007419192048 path: 1 0 1 2 
152 0,003850560672912 path: 1 0 1 2 1 
153 0,000608388586320096 path: 1 0 1 2 1 1 
154 0,00177125790953952 path: 1 0 1 2 1 0 
155 0,00147091417705238 path: 1 0 1 2 1 2 
156 0,0001854798012 path: 1 0 1 2 0 
157 2,93058085896E-05 path: 1 0 1 2 0 1 
158 8,5320708552E-05 path: 1 0 1 2 0 0 
159 7,08532840584E-05 path: 1 0 1 2 0 2 
160 0,003383151573888 path: 1 0 1 2 2 
161 0,000534537948674304 path: 1 0 1 2 2 1 
162 0,00155624972398848 path: 1 0 1 2 2 0 
163 0,00129236390122522 path: 1 0 1 2 2 2 
164 0,004093588 path: 1 0 0 
165 0,002288315692 path: 1 0 0 1 
166 0,001187635844148 path: 1 0 0 1 1 
167 0,000187646463375384 path: 1 0 0 1 1 1 
168 0,00054631248830808 path: 1 0 0 1 1 0 
169 0,000453676892464536 path: 1 0 0 1 1 2 
170 5,72078923E-05 path: 1 0 0 1 0 
171 9,0388469834E-06 path: 1 0 0 1 0 1 
172 2,6315630458E-05 path: 1 0 0 1 0 0 
173 2,18534148586E-05 path: 1 0 0 1 0 2 
174 0,001043471955552 path: 1 0 0 1 2 
175 0,000164868568977216 path: 1 0 0 1 2 1 
176 0,00047999709955392 path: 1 0 0 1 2 0 
177 0,000398606287020864 path: 1 0 0 1 2 2 
178 0,000442107504 path: 1 0 0 0 
179 0,000229453794576 path: 1 0 0 0 1 
180 3,6253699543008E-05 path: 1 0 0 0 1 1 
181 0,00010554874550496 path: 1 0 0 0 1 0 
182 8,7651349528032E-05 path: 1 0 0 0 1 2 
183 1,10526876E-05 path: 1 0 0 0 0 
184 1,7463246408E-06 path: 1 0 0 0 0 1 
185 5,084236296E-06 path: 1 0 0 0 0 0 
186 4,2221266632E-06 path: 1 0 0 0 0 2 
187 0,000201601021824 path: 1 0 0 0 2 
188 3,1852961448192E-05 path: 1 0 0 0 2 1 
189 9,273647003904E-05 path: 1 0 0 0 2 0 
190 7,7011590336768E-05 path: 1 0 0 0 2 2 
191 0,001363164804 path: 1 0 0 2 
192 0,000707482533276 path: 1 0 0 2 1 
193 0,000111782240257608 path: 1 0 0 2 1 1 
194 0,00032544196530696 path: 1 0 0 2 1 0 
195 0,000270258327711432 path: 1 0 0 2 1 2 
196 3,40791201E-05 path: 1 0 0 2 0 
197 5,3845009758E-06 path: 1 0 0 2 0 1 
198 1,5676395246E-05 path: 1 0 0 2 0 0 
199 1,30182238782E-05 path: 1 0 0 2 0 2 
200 0,000621603150624 path: 1 0 0 2 2 
201 9,8213297798592E-05 path: 1 0 0 2 2 1 
202 0,00028593744928704 path: 1 0 0 2 2 0 
203 0,000237452403538368 path: 1 0 0 2 2 2 
204 0,007180556 path: 1 0 2 
205 0,004013930804 path: 1 0 2 1 
206 0,002083230087276 path: 1 0 2 1 1 
207 0,000329150353789608 path: 1 0 2 1 1 1 
208 0,00095828584014696 path: 1 0 2 1 1 0 
209 0,000795793893339432 path: 1 0 2 1 1 2 
210 0,0001003482701 path: 1 0 2 1 0 
211 1,58550266758E-05 path: 1 0 2 1 0 1 
212 4,6160204246E-05 path: 1 0 2 1 0 0 
213 3,83330391782E-05 path: 1 0 2 1 0 2 
214 0,001830352446624 path: 1 0 2 1 2 
215 0,000289195686566592 path: 1 0 2 1 2 1 
216 0,00084196212544704 path: 1 0 2 1 2 0 
217 0,000699194634610368 path: 1 0 2 1 2 2 
218 0,000775500048 path: 1 0 2 0 
219 0,000402484524912 path: 1 0 2 0 1 
220 6,3592554936096E-05 path: 1 0 2 0 1 1 
221 0,00018514288145952 path: 1 0 2 0 1 0 
222 0,000153749088516384 path: 1 0 2 0 1 2 
223 1,93875012E-05 path: 1 0 2 0 0 
224 3,0632251896E-06 path: 1 0 2 0 0 1 
225 8,918250552E-06 path: 1 0 2 0 0 0 
226 7,4060254584E-06 path: 1 0 2 0 0 2 
227 0,000353628021888 path: 1 0 2 0 2 
228 5,5873227458304E-05 path: 1 0 2 0 2 1 
229 0,00016266889006848 path: 1 0 2 0 2 0 
230 0,000135085904361216 path: 1 0 2 0 2 2 
231 0,002391125148 path: 1 0 2 2 
232 0,001240993951812 path: 1 0 2 2 1 
233 0,000196077044386296 path: 1 0 2 2 1 1 
234 0,00057085721783352 path: 1 0 2 2 1 0 
235 0,000474059689592184 path: 1 0 2 2 1 2 
236 5,97781287E-05 path: 1 0 2 2 0 
237 9,4449443346E-06 path: 1 0 2 2 0 1 
238 2,7497939202E-05 path: 1 0 2 2 0 0 
239 2,28352451634E-05 path: 1 0 2 2 0 2 
240 0,001090353067488 path: 1 0 2 2 2 
241 0,000172275784663104 path: 1 0 2 2 2 1 
242 0,00050156241104448 path: 1 0 2 2 2 0 
243 0,000416514871780416 path: 1 0 2 2 2 2 
244 0,011479 path: 1 2 
245 0,00762205600000003 path: 1 2 1 
246 0,00426072930400002 path: 1 2 1 1 
247 0,00221131850877601 path: 1 2 1 1 1 
248 0,000349388324386609 path: 1 2 1 1 1 1 
249 0,00101720651403696 path: 1 2 1 1 1 0 
250 0,000844723670352435 path: 1 2 1 1 1 2 
251 0,0001065182326 path: 1 2 1 1 0 
252 1,68298807508001E-05 path: 1 2 1 1 0 1 
253 4,89983869960002E-05 path: 1 2 1 1 0 0 
254 4,06899648532001E-05 path: 1 2 1 1 0 2 
255 0,00194289256262401 path: 1 2 1 1 2 
256 0,000306977024894593 path: 1 2 1 1 2 1 
257 0,000893730578807043 path: 1 2 1 1 2 0 
258 0,000742184958922371 path: 1 2 1 1 2 2 
